JobId,SessionId,Status,Reason,Created,Completed,Program,Name,Service,Instance,Tags,Usage (seconds)
cms74e9kvec0008wggm0,,Completed,,2023-10-20T12:27:37.296534Z,2023-10-20T21:50:09.443Z,circuit-runner,,ibm_cairo,ibm-q-internal/deployed/default,,7
cms74dh378ng008ttr00,,Completed,,2023-10-20T12:27:34.138628Z,2023-10-20T22:07:27.215Z,circuit-runner,,ibm_cairo,ibm-q-internal/deployed/default,,354
cms741rregeg008fbwcg,,Completed,,2023-10-20T12:26:47.388231Z,2023-10-20T21:49:36.588Z,circuit-runner,,ibm_cairo,ibm-q-internal/deployed/default,,7
cms7410regeg008fbwc0,,Completed,,2023-10-20T12:26:44.615189Z,2023-10-20T22:01:07.395Z,circuit-runner,,ibm_cairo,ibm-q-internal/deployed/default,,354
cms69sfkvec0008wgeng,,Completed,,2023-10-20T11:30:45.559542Z,2023-10-20T11:35:09.59Z,circuit-runner,,ibm_cairo,ibm-q-internal/deployed/default,,9
cms69rf378ng008ttnx0,,Completed,,2023-10-20T11:30:41.629151Z,2023-10-20T11:48:07.298Z,circuit-runner,,ibm_cairo,ibm-q-internal/deployed/default,,355
cms69jykvec0008wgen0,,Completed,,2023-10-20T11:30:19.533369Z,2023-10-20T11:34:50.482Z,circuit-runner,,ibm_cairo,ibm-q-internal/deployed/default,,9
cms69j6kvec0008wgemg,,Completed,,2023-10-20T11:30:17.053472Z,2023-10-20T11:56:54.848Z,circuit-runner,,ibm_cairo,ibm-q-internal/deployed/default,,357
cms23ne0c0f00089e18g,,Completed,,2023-10-20T06:44:37.215159Z,2023-10-20T13:41:34.928Z,circuit-runner,,ibm_hanoi,ibm-q-internal/deployed/default,,16
cms23mp0c0f00089e180,,Completed,,2023-10-20T06:44:34.964663Z,2023-10-20T13:41:18.241Z,circuit-runner,,ibm_hanoi,ibm-q-internal/deployed/default,,84
cms21j6kvec0008wg65g,,Failed,A pulse scheduling conflict occurred. Try increasing the lengths of any short pulses and/or inserting more delay between them.,2023-10-20T06:40:09.009987Z,2023-10-20T10:43:28.995Z,circuit-runner,,ibm_cairo,ibm-q-internal/deployed/default,,0
cms21h64mm8g008kbd9g,,Failed,A pulse scheduling conflict occurred. Try increasing the lengths of any short pulses and/or inserting more delay between them.,2023-10-20T06:40:04.975666Z,2023-10-20T10:43:45.186Z,circuit-runner,,ibm_cairo,ibm-q-internal/deployed/default,,0
